"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"1",67223,"health","off_brand",3.6,11,22,22.3,811
"2",172699,"health","premium",4.8,3,3,24.3,1875
"3",136532,"toys","off_brand",4.2,8,20,40,999
"4",154306,"health","premium",3.3,8,15,28,3566
"5",183081,"health","off_brand",4.7,17,8,57.4,876
"6",161608,"other","premium",4.6,14,32,16.1,1136
"7",145016,"health","premium",4.3,10,15,25.7,1141
"8",104492,"toys","premium",4.5,0,17,35.3,809
"9",157254,"health","premium",4,14,28,39.7,1562
"10",83562,"other","premium",4.2,8,NA,34.2,1116
"11",137420,"other","off_brand",3.1,2,32,62.4,2561
"12",194000,"toys","off_brand",4,11,15,57.1,2625
"13",148190,"toys","off_brand",3.8,5,25,69.2,3554
"14",201214,"health","premium",4.4,30,19,27.9,2797
"15",114476,"toys","off_brand",4.7,4,20,94.3,926
"16",126722,"health","premium",4,3,8,12.5,1671
"17",53523,"health","off_brand",2.9,6,23,83.8,1117
"18",95667,"health","premium",4,17,10,26.7,813
"19",207950,"health","off_brand",4.7,6,11,22.4,2436
"20",115170,"health","premium",3.8,4,25,47.3,1101
"21",157684,"other","premium",4.8,13,22,43.8,757
"22",140153,"food",NA,4.3,3,17,45.7,1956
"23",141812,"health","premium",4.9,8,23,21.4,1316
"24",126666,"toys","premium",4.4,2,24,64.8,2091
"25",189538,"health","off_brand",4.5,3,9,56.8,2920
"26",87386,"toys","off_brand",3.9,4,17,5,2463
"27",180718,"food","off_brand",3.8,4,35,39.6,3407
"28",156736,"health","premium",4.6,11,20,46.5,605
"29",170335,"other","premium",4.3,22,17,5,850
"30",111639,"toys","off_brand",3.6,11,14,58.3,1766
"31",105626,"toys","off_brand",4.3,4,18,54.8,731
"32",181331,"other",NA,4.5,6,22,33,1061
"33",176396,"other","off_brand",4.1,14,34,17.4,2479
"34",188780,"health","off_brand",4,4,19,31,2897
"35",89795,"food","off_brand",4.1,3,28,59.1,944
"36",113503,"health","off_brand",3.7,9,22,61.7,1202
"37",191737,"toys","off_brand",4.9,6,16,24.3,909
"38",137053,"toys","off_brand",4.6,4,29,85.1,639
"39",200706,"food","off_brand",3.2,3,24,7.2,3478
"40",128218,"toys","premium",3.5,8,14,67.6,2978
"41",93292,"health","off_brand",4,2,23,72.3,1468
"42",130063,"toys","premium",4.7,7,19,56.5,1811
"43",157156,"toys","off_brand",3.3,10,14,53.5,3593
"44",191732,"food","off_brand",4.5,8,33,50.1,2431
"45",148423,"food","off_brand",4.5,5,28,59.8,974
"46",169547,"toys","premium",3.7,10,21,48.1,3593
"47",113491,"toys","off_brand",4.2,7,18,83.1,1623
"48",241319,"health","off_brand",4.6,24,15,60.8,2969
"49",112894,"health","premium",4.2,13,10,19.3,1579
"50",89171,"toys","off_brand",4.3,2,11,13.9,911
"51",82142,"health","premium",4.6,2,28,23.3,1217
"52",160410,"other","off_brand",4.4,1,23,69,2704
"53",78121,"health","premium",3.2,6,18,46.9,1696
"54",190002,"toys","premium",4.7,8,20,45.7,2421
"55",179248,"toys","premium",4.6,8,22,18.5,2685
"56",96519,"other","off_brand",4.1,10,12,14.1,730
"57",194322,"health","premium",4.8,4,NA,46.5,2056
"58",115960,"toys","off_brand",3.1,4,NA,56.3,2090
"59",104732,"toys","off_brand",4,6,25,NA,728
"60",56935,"health","premium",3.2,2,17,20.5,603
"61",79008,"health","premium",3.7,6,26,45.3,903
"62",110641,"other","premium",4.3,3,12,20.6,988
"63",231566,"health","off_brand",4.7,6,20,37.5,2750
"64",164357,"health","off_brand",3.5,20,23,28.7,2313
"65",204389,"other","off_brand",4.1,12,13,89.3,2518
"66",67248,"toys","premium",3.3,4,20,45.6,1666
"67",230453,"other","off_brand",4.2,23,8,41.3,3096
"68",191794,"health",NA,4.6,16,15,6.8,2438
"69",61953,"health","off_brand",3.6,8,19,58,916
"70",103060,"toys","off_brand",3.9,10,29,48.5,1818
"71",134144,"health","off_brand",4.5,5,24,25.6,1132
"72",186480,"toys",NA,4.5,2,24,50.1,2961
"73",127958,"food","premium",3.9,21,21,79.6,678
"74",182007,"toys","premium",4.4,4,21,53.2,2661
"75",204612,"toys","off_brand",4.3,5,13,51.7,2457
"76",141112,"toys","off_brand",2.6,16,20,84.3,2374
"77",71326,"health","premium",4.1,9,24,61.6,845
"78",171420,"health","off_brand",4.6,6,34,60.7,2198
"79",235028,"food","premium",4.6,10,14,15.1,3048
"80",66780,"toys","premium",3.8,3,17,40.5,958
"81",214396,"health","off_brand",4.4,12,25,35.5,3390
"82",139044,"toys","premium",3.6,5,25,87.2,2934
"83",63645,"health","premium",4.3,3,23,26.7,1028
"84",71583,"health","premium",3,19,13,40.7,982
"85",119227,"toys","premium",3.4,14,21,14.1,2085
"86",74674,"food","premium",3.1,2,11,36.8,1944
"87",153233,"food","off_brand",4.2,4,24,27.6,1156
"88",164122,"toys","off_brand",4.8,5,13,88.9,1697
"89",195174,"other","premium",4.4,4,14,30.5,3446
"90",75342,"toys","off_brand",3.5,7,26,53.9,1049
